"age","balance","day","duration","job","marital","y"
"51","2127","5","172","retired","married","no"
"33","377","5","217","management","married","no"
"55","73","5","142","management","married","no"
"42","445","5","67","admin.","married","no"
"34","243","5","291","blue-collar","married","no"
"33","307","5","309","blue-collar","single","no"
"38","155","5","248","services","married","no"
"50","173","5","98","technician","divorced","no"
"43","400","5","256","management","married","no"
"61","1428","5","82","blue-collar","divorced","no"
"47","219","5","577","admin.","married","no"
"48","7","5","286","self-employed","married","no"
"44","575","5","477","blue-collar","married","no"
"35","298","5","611","student","single","no"
"35","0","5","471","services","married","no"
"50","5699","5","381","services","married","no"
"41","176","5","42","management","married","no"
"41","517","5","251","management","married","no"
"39","257","5","408","services","single","no"
"42","56","5","215","retired","married","no"
"38","-390","5","287","blue-collar","married","no"
"53","330","5","216","retired","married","no"
"59","195","5","366","housemaid","divorced","no"
"36","301","5","210","services","married","no"
"54","-41","5","288","blue-collar","married","no"
"40","483","5","168","technician","married","no"
"47","28","5","338","unknown","married","no"
"53","13","5","410","unemployed","married","no"
"46","965","5","177","housemaid","married","no"
"39","378","5","127","management","married","no"
"40","219","5","357","unemployed","married","no"
"28","324","5","175","blue-collar","married","no"
"35","-69","5","300","entrepreneur","divorced","no"
"55","0","5","136","retired","married","no"
"43","205","5","1419","technician","divorced","no"
"48","278","5","125","blue-collar","married","no"
"58","1065","5","213","management","married","no"
"33","34","5","27","management","single","no"
"36","1033","5","238","blue-collar","married","no"
"53","1467","5","124","services","divorced","no"
"47","-12","5","18","blue-collar","married","no"
"31","388","5","730","services","married","no"
"57","294","5","746","entrepreneur","married","no"
"53","1827","5","121","blue-collar","married","no"
"55","627","5","247","blue-collar","married","no"
"45","25","5","40","blue-collar","married","no"
"53","315","5","181","admin.","divorced","no"
"37","0","5","79","blue-collar","married","no"
"44","66","5","206","admin.","divorced","no"
"49","-9","5","389","blue-collar","divorced","no"
"46","349","5","127","technician","married","no"
"43","100","5","702","entrepreneur","married","no"
"38","0","5","151","admin.","married","no"
"43","434","5","117","technician","married","no"
"49","3237","5","232","management","married","no"
"42","275","5","408","management","married","no"
"22","0","5","179","blue-collar","single","no"
"40","207","5","39","management","married","no"
"39","483","5","282","blue-collar","married","no"
"51","2248","5","714","services","married","no"
"49","428","5","50","admin.","married","no"
"53","0","5","181","blue-collar","married","no"
"34","0","5","142","services","single","no"
"33","140","5","227","technician","divorced","no"
"50","297","5","119","management","single","no"
"39","279","5","361","blue-collar","married","no"
"59","901","5","73","entrepreneur","divorced","no"
"30","2573","5","67","technician","single","no"
"36","143","5","350","services","married","no"
"40","475","5","332","blue-collar","married","no"
"53","70","5","611","blue-collar","married","no"
"34","318","5","113","management","single","no"
"37","275","5","132","technician","married","no"
"42","742","5","58","management","divorced","no"
"41","236","5","151","entrepreneur","married","no"
"30","25","5","89","student","single","no"
"37","600","5","152","management","single","no"
"39","-349","5","611","admin.","divorced","no"
"41","183","5","110","blue-collar","married","no"
"40","0","5","463","blue-collar","married","no"
"42","0","5","562","management","single","yes"
"40","0","5","962","blue-collar","divorced","no"
"57","1078","5","10","technician","married","no"
"56","155","5","118","entrepreneur","divorced","no"
"37","190","5","92","admin.","married","no"
"59","319","5","143","retired","married","no"
"39","-185","5","189","services","divorced","no"
"49","47","5","234","services","married","no"
"38","570","5","75","services","single","no"
"36","19","5","189","self-employed","married","no"
"50","61","5","621","blue-collar","married","no"
"41","-62","5","55","admin.","married","no"
"54","258","5","310","technician","married","no"
"58","76","5","156","blue-collar","married","no"
"30","0","5","5","blue-collar","single","no"
"33","352","5","225","admin.","single","no"
"47","368","5","125","admin.","married","no"
"50","339","5","2","technician","single","no"
"32","1331","5","286","blue-collar","married","no"
"40","672","5","164","self-employed","married","no"
"37","58","5","98","management","married","no"
"54","447","5","742","technician","single","no"
"24","423","5","226","student","single","no"
"54","0","5","120","management","married","no"
"34","19","5","362","technician","married","no"
"56","13","5","357","technician","divorced","no"
"31","3","5","200","blue-collar","single","no"
"24","82","5","204","student","single","no"
"42","28","5","126","blue-collar","divorced","no"
"57","792","5","65","technician","married","no"
"42","408","5","107","blue-collar","married","no"
"51","531","5","267","admin.","married","no"
"57","211","5","248","retired","married","no"
"36","62","5","215","services","single","no"
"53","257","5","209","services","married","no"
"50","1234","5","205","technician","married","no"
"54","313","5","83","management","married","no"
"55","89","5","106","blue-collar","married","no"
"44","129","5","189","blue-collar","married","no"
"43","0","5","105","management","married","no"
"56","353","5","106","admin.","married","no"
"54","851","5","108","technician","married","no"
"55","96","5","311","services","divorced","no"
"37","398","5","214","services","divorced","no"
"33","193","5","132","admin.","single","no"
"46","-358","5","358","admin.","married","no"
"36","539","5","453","blue-collar","married","no"
"51","0","5","364","technician","single","no"
"40","0","5","136","retired","single","no"
"42","490","5","386","blue-collar","married","no"
"51","0","5","173","blue-collar","married","no"
"49","403","5","241","blue-collar","married","no"
"48","161","5","224","management","married","no"
"32","2558","5","148","technician","divorced","no"
"31","98","5","196","admin.","single","no"
"55","115","5","111","management","single","no"
"40","436","5","231","blue-collar","single","no"
"47","831","5","316","technician","married","no"
"57","206","5","216","technician","married","no"
"41","290","5","240","blue-collar","married","no"
"48","1","5","669","blue-collar","married","no"
"42","57","5","425","blue-collar","married","no"
"30","-457","5","143","blue-collar","single","no"
"58","1387","5","174","management","single","no"
"45","24598","5","313","management","divorced","no"
"49","30","5","135","blue-collar","married","no"
"42","1022","5","146","admin.","single","no"
"53","56","5","152","technician","married","no"
"51","-2","5","402","admin.","single","no"
"32","121","5","213","services","single","no"
"41","842","5","144","blue-collar","single","no"
"43","693","5","124","management","divorced","no"
"40","-333","5","183","blue-collar","divorced","no"
"50","1533","5","325","blue-collar","married","no"
"34","46","5","39","management","married","no"
"53","18","5","503","services","married","no"
"45","44","5","95","technician","married","no"
"39","-100","5","680","blue-collar","married","no"
"44","510","5","421","services","married","no"
"55","685","5","174","management","married","no"
"46","187","5","113","management","single","no"
"45","66","5","808","blue-collar","married","no"
"34","560","5","198","admin.","married","no"
"36","0","5","195","blue-collar","married","no"
"59","27","5","347","unknown","divorced","no"
"31","12","5","208","admin.","single","no"
"44","34","5","404","blue-collar","single","no"
"33","1068","5","396","entrepreneur","single","no"
"40","211","5","216","blue-collar","married","no"
"46","377","5","98","admin.","single","no"
"48","263","5","350","management","married","no"
"42","1263","6","114","services","married","no"
"27","8","6","88","services","married","no"
"48","126","6","379","admin.","married","no"
"59","230","6","190","admin.","married","no"
"46","841","6","158","technician","married","no"
"38","308","6","102","admin.","divorced","no"
"43","1","6","306","management","divorced","no"
"38","86","6","218","admin.","divorced","no"
"23","157","6","54","student","single","no"
"34","22","6","344","services","married","no"
"38","46","6","195","admin.","married","no"
"37","1293","6","652","blue-collar","married","no"
"25","122","6","286","admin.","single","no"
"48","131","6","189","blue-collar","married","no"
"49","143","6","83","blue-collar","single","no"
"38","393","6","184","admin.","single","no"
"43","98","6","235","blue-collar","married","no"
"33","0","6","290","management","married","no"
"55","224","6","232","blue-collar","married","no"
"38","757","6","133","blue-collar","married","no"
"49","245","6","318","services","married","no"
"40","8486","6","260","management","married","no"
"43","350","6","437","admin.","married","no"
"38","20","6","402","blue-collar","married","no"
"58","1667","6","85","services","married","no"
"57","345","6","125","technician","married","no"
"32","10","6","501","unemployed","married","no"
"56","830","6","1201","management","married","yes"
"58","29","6","253","blue-collar","divorced","no"
"60","545","6","1030","retired","divorced","yes"
"37","8730","6","149","technician","married","no"
"46","477","6","114","technician","divorced","no"
"27","4","6","243","admin.","married","no"
"43","1205","6","769","blue-collar","married","no"
"32","0","6","135","technician","single","no"
"40","263","6","231","admin.","single","no"
"38","1","6","76","admin.","married","no"
"34","283","6","199","blue-collar","married","no"
"47","206","6","152","blue-collar","married","no"
"42","17","6","124","housemaid","married","no"
"48","141","6","424","technician","married","no"
"29","16","6","43","self-employed","single","no"
"50","206","6","154","services","married","no"
"52","7","6","203","technician","married","no"
"50","0","6","326","management","married","no"
"58","0","6","393","retired","married","no"
"46","1927","6","241","blue-collar","divorced","no"
"38","284","6","483","technician","married","no"
"46","1660","6","259","blue-collar","married","no"
"32","406","6","227","services","single","no"
"51","230","6","673","blue-collar","married","no"
"39","-25","6","576","admin.","single","no"
"48","182","6","180","admin.","married","no"
"36","1169","6","168","entrepreneur","married","no"
"34","67","6","90","admin.","divorced","no"
"40","77","6","505","technician","married","no"
"43","0","6","245","unemployed","married","no"
"52","55","6","186","blue-collar","divorced","no"
"33","72","6","623","technician","married","no"
"49","163","6","496","management","single","no"
"32","151","6","118","management","single","no"
"39","113","6","342","admin.","single","no"
"40","0","6","225","blue-collar","married","no"
"38","9","6","185","technician","single","no"
"43","375","6","196","management","married","no"
"39","1142","6","276","services","married","no"
"54","2102","6","76","blue-collar","married","no"
"38","4325","6","87","technician","single","no"
"40","217","6","195","blue-collar","married","no"
"55","131","6","744","admin.","married","no"
"42","1680","6","765","management","married","no"
"39","0","6","262","blue-collar","married","no"
"40","46","6","119","blue-collar","married","no"
"32","320","6","198","blue-collar","married","no"
"55","183","6","150","admin.","married","no"
"45","39","6","241","blue-collar","married","no"
"35","560","6","181","management","single","no"
"58","469","6","196","technician","divorced","no"
"35","530","6","149","admin.","married","no"
"49","61","6","246","services","married","no"
"34","242","6","112","technician","single","no"
"36","139","6","309","blue-collar","married","no"
"24","0","6","278","self-employed","single","no"
"34","367","6","140","technician","married","no"
"51","228","6","136","admin.","divorced","no"
"39","45248","6","1623","technician","single","yes"
"50","-84","6","101","self-employed","married","no"
"32","310","6","144","services","single","no"
"42","132","6","238","blue-collar","married","no"
"50","797","6","354","technician","married","no"
"40","71","6","79","services","married","no"
"46","2","6","187","management","divorced","no"
"37","231","6","451","management","married","no"
"34","270","6","159","blue-collar","married","no"
"44","274","6","409","blue-collar","married","no"
"40","-109","6","170","admin.","single","no"
"37","1","6","608","technician","married","yes"
"33","-60","6","243","blue-collar","single","no"
"35","89","6","145","blue-collar","married","no"
"58","-11","6","112","blue-collar","divorced","no"
"39","0","6","262","blue-collar","married","no"
"43","-509","6","124","blue-collar","married","no"
"39","408","6","53","unemployed","married","no"
"36","58","6","134","services","single","no"
"57","1640","6","204","retired","single","no"
"36","20","6","186","admin.","single","no"
"50","71","6","678","blue-collar","married","no"
"55","52","6","182","blue-collar","married","no"
"44","292","6","162","self-employed","married","no"
"44","424","6","27","services","divorced","no"
"39","109","6","699","housemaid","single","no"
"46","1044","6","43","blue-collar","married","no"
"39","983","6","97","blue-collar","married","no"
"34","869","6","1677","admin.","married","yes"
"40","668","6","283","blue-collar","married","no"
"50","964","6","323","management","married","no"
"31","301","6","82","management","single","no"
"37","140","6","310","admin.","single","no"
"39","1877","6","185","management","single","no"
"51","1127","6","47","blue-collar","married","no"
"41","871","6","145","technician","married","no"
"41","767","6","204","technician","married","no"
"43","0","6","187","blue-collar","married","no"
"30","209","6","30","services","single","no"
"54","0","6","472","management","divorced","no"
"43","110","6","448","blue-collar","divorced","no"
"59","-76","6","264","management","divorced","no"
"47","178","6","169","technician","married","no"
"40","-66","6","288","blue-collar","married","no"
"32","0","6","176","technician","married","no"
"29","1","6","215","blue-collar","married","no"
"36","0","6","337","blue-collar","married","no"
"55","5345","6","278","unemployed","married","no"
"30","-209","6","188","blue-collar","divorced","no"
"39","0","6","174","admin.","single","no"
"39","42","6","226","blue-collar","divorced","no"
"50","41","6","190","blue-collar","divorced","no"
"44","-99","6","111","blue-collar","married","no"
"37","17","6","164","technician","single","no"
"46","276","6","157","admin.","married","no"
"32","-170","6","46","technician","single","no"
"37","230","6","374","management","single","no"
"29","9","6","349","blue-collar","married","no"
"41","946","6","325","blue-collar","married","no"
"45","1297","6","233","blue-collar","married","no"
"57","-331","6","531","retired","divorced","no"
"48","44","6","153","blue-collar","single","no"
"60","15","6","80","retired","married","no"
"26","712","6","232","admin.","single","no"
"58","5435","6","118","retired","married","no"
"34","507","6","190","admin.","married","no"
"55","387","6","918","unemployed","divorced","yes"
"41","0","6","238","blue-collar","married","no"
"50","1716","6","82","management","divorced","no"
"49","167","6","198","entrepreneur","married","no"
"44","40","6","160","admin.","married","no"
"44","148","6","211","blue-collar","married","no"
"31","17","6","120","technician","married","no"
"34","1011","6","136","blue-collar","single","no"
"46","1527","6","269","management","single","no"
"42","744","6","157","management","married","no"
"52","484","6","128","admin.","married","no"
"29","0","6","211","management","single","no"
"53","136","6","267","retired","married","no"
"43","1335","6","371","blue-collar","married","no"
"38","517","6","288","management","married","no"
"46","459","6","221","management","married","no"
"48","549","6","427","management","divorced","no"
"30","83","6","310","admin.","divorced","no"
"44","213","6","158","blue-collar","married","no"
"31","203","6","604","housemaid","married","no"
"42","518","6","198","services","single","no"
"40","3877","6","145","management","single","no"
"52","1236","6","247","admin.","married","no"
"45","756","6","179","blue-collar","divorced","no"
"48","157","6","73","blue-collar","married","no"
"45","-66","6","263","blue-collar","married","no"
"34","245","6","13","blue-collar","married","no"
"34","-144","6","79","blue-collar","married","no"
"46","71","6","416","blue-collar","married","no"
"49","505","6","162","services","divorced","no"
"50","249","6","129","technician","married","no"
"34","0","6","150","admin.","single","no"
"40","11","6","43","unemployed","single","no"
"36","639","6","191","admin.","married","no"
"59","124","6","26","blue-collar","divorced","no"
"45","82","6","250","blue-collar","married","no"
"36","107","6","146","self-employed","married","no"
"56","473","6","416","services","married","no"
"42","372","6","121","services","divorced","no"
"30","46","6","114","admin.","married","no"
"30","34","6","289","student","single","no"
"47","935","6","225","self-employed","married","no"
"33","-10","6","123","blue-collar","married","no"
"36","-106","6","130","admin.","married","no"
"39","471","6","161","services","divorced","no"
"56","778","6","149","admin.","divorced","no"
"39","170","6","268","blue-collar","divorced","no"
"42","315","6","259","technician","married","no"
"52","3165","6","26","blue-collar","married","no"
"36","131","6","153","admin.","divorced","no"
"35","204","6","424","entrepreneur","married","no"
"47","83","6","179","technician","married","no"
"59","0","6","97","services","divorced","no"
"57","5431","6","383","blue-collar","married","no"
"38","1759","6","440","management","married","no"
"46","-125","6","23","unemployed","married","no"
"34","0","6","195","blue-collar","married","no"
"28","5090","6","1297","services","single","yes"
"38","573","6","87","technician","married","no"
"56","1602","6","427","blue-collar","married","no"
"41","-137","6","189","blue-collar","single","no"
"52","0","6","195","technician","married","no"
"54","193","6","179","services","married","no"
"61","195","6","179","retired","married","no"
"53","288","6","69","entrepreneur","married","no"
"47","19","6","105","technician","married","no"
"53","25","6","266","blue-collar","married","no"
"46","216","6","524","services","married","no"
"39","190","6","96","blue-collar","divorced","no"
"56","99","6","155","technician","divorced","no"
"55","2298","6","162","services","divorced","no"
"44","17","6","352","management","married","no"
"37","0","6","76","technician","married","no"
"35","0","6","154","blue-collar","married","no"
"55","840","6","310","blue-collar","married","no"
"37","358","6","390","services","married","no"
"30","0","6","369","technician","single","no"
"37","-325","6","112","blue-collar","married","no"
"36","-15","6","341","technician","single","no"
"38","581","6","79","technician","married","no"
"41","4070","6","140","admin.","divorced","no"
"48","74","6","315","retired","married","no"
"55","141","6","262","services","divorced","no"
"28","89","6","174","services","divorced","no"
"54","0","6","138","services","married","no"
"30","450","6","526","blue-collar","married","no"
"48","310","6","135","technician","married","no"
"31","0","6","36","self-employed","married","no"
"38","384","6","1906","blue-collar","married","no"
"37","395","6","219","blue-collar","married","no"
"37","-118","6","147","services","single","no"
"56","5","6","407","blue-collar","married","no"
"51","50","6","121","blue-collar","married","no"
"39","285","6","209","blue-collar","married","no"
"49","15","6","92","technician","married","no"
"51","653","6","208","blue-collar","married","no"
"43","918","6","193","self-employed","married","no"
"32","243","6","144","services","married","no"
"29","405","6","65","technician","single","no"
"48","1328","6","339","management","divorced","no"
"55","255","6","285","services","married","no"
"53","3397","6","231","blue-collar","married","no"
"47","2106","6","168","technician","married","no"
"39","2877","6","278","management","married","no"
"31","60","6","389","blue-collar","single","no"
"39","2226","6","158","blue-collar","married","no"
"40","2880","6","145","blue-collar","married","no"
"40","-5","6","78","technician","single","no"
"48","147","6","142","technician","married","no"
"33","7","6","87","technician","divorced","no"
"40","109","6","147","technician","married","no"
"59","-119","6","289","retired","married","no"
"30","484","6","703","technician","married","yes"
"31","1852","6","170","management","single","no"
"35","533","6","802","unemployed","married","no"
"54","21","6","381","technician","divorced","no"
"34","2434","6","218","admin.","single","no"
"32","90","6","57","technician","married","no"
"56","4246","6","304","admin.","divorced","no"
"32","395","6","241","admin.","single","no"
"42","15","6","230","blue-collar","married","no"
"33","85","6","262","services","married","no"
"52","-184","6","392","entrepreneur","married","no"
"52","660","6","201","services","married","no"
"52","-183","6","145","blue-collar","divorced","no"
"30","1144","6","252","unemployed","divorced","no"
"44","1","6","235","services","divorced","no"
"35","69","6","235","admin.","married","no"
"55","220","6","328","management","single","no"
"33","332","6","116","blue-collar","married","no"
"37","240","6","246","blue-collar","single","no"
"42","0","6","293","technician","single","no"
"43","0","6","37","unemployed","married","no"
"38","898","6","132","entrepreneur","married","no"
"37","123","6","530","technician","married","no"
"31","252","6","175","student","single","no"
"41","65","6","524","management","married","no"
"41","-366","6","29","technician","married","no"
"29","209","6","311","student","single","no"
"38","221","6","211","admin.","single","no"
"44","4","6","312","self-employed","divorced","no"
"39","104","6","412","admin.","married","no"
"28","312","6","392","technician","single","no"
"33","-349","6","191","blue-collar","married","no"
"41","4","6","284","services","married","no"
"40","-322","6","144","blue-collar","married","no"
"29","-150","6","328","admin.","married","no"
"38","1349","6","100","management","married","no"
"32","281","6","226","admin.","married","no"
"45","1259","6","507","services","married","no"
"33","101","6","392","admin.","single","no"
"34","848","6","684","blue-collar","married","no"
"41","89","6","333","entrepreneur","married","no"
"41","140","6","311","blue-collar","married","no"
"35","148","6","128","admin.","single","no"
"40","200","6","322","technician","single","no"
"60","46","6","202","self-employed","married","no"
"47","201","6","92","services","divorced","no"
"46","530","6","739","blue-collar","married","no"
"31","0","6","273","blue-collar","single","no"
"49","1","6","260","self-employed","married","no"
"29","43","6","268","blue-collar","married","no"
"31","-173","6","396","management","single","no"
"38","389","6","262","management","married","no"
"37","215","6","308","blue-collar","married","no"
"35","-131","6","467","technician","married","no"
"31","783","6","320","management","single","no"
"41","0","6","160","admin.","married","no"
"46","80","6","245","services","married","no"
"40","105","6","189","services","divorced","no"
"29","182","6","477","admin.","married","no"
"49","82","6","310","admin.","married","no"
"42","0","6","65","management","married","no"
"54","510","6","196","services","married","no"
"40","242","6","221","management","single","no"
"53","244","6","197","admin.","married","no"
"49","92","6","221","management","married","no"
"40","0","6","64","blue-collar","married","no"
"29","948","6","75","student","single","no"
"36","23","6","400","blue-collar","married","no"
"37","710","6","378","technician","married","no"
"39","1205","6","118","services","married","no"
"36","368","6","1597","technician","married","yes"
"44","1631","6","346","entrepreneur","married","no"
"40","6","6","60","admin.","married","no"
"49","26","6","276","blue-collar","married","no"
"30","-48","6","152","technician","single","no"
"57","2142","6","251","management","married","no"
"24","77","6","390","services","single","no"
"46","401","6","306","blue-collar","married","no"
"33","21","6","189","admin.","married","no"
"43","0","6","125","services","divorced","no"
"43","-497","6","234","admin.","single","no"
"40","369","6","79","blue-collar","divorced","no"
"44","78","6","13","technician","single","no"
"35","226","6","283","technician","single","no"
"47","503","6","109","technician","married","no"
"33","372","6","132","blue-collar","married","no"
"31","0","6","144","admin.","married","no"
"40","0","6","121","blue-collar","divorced","no"
"36","125","6","95","entrepreneur","married","no"
"56","4","6","31","retired","divorced","no"
"40","419","6","112","admin.","single","no"
"41","322","6","87","admin.","divorced","no"
"53","303","6","593","retired","married","no"
"39","607","6","99","blue-collar","married","no"
"44","579","6","198","blue-collar","divorced","no"
"38","3047","6","285","admin.","married","no"
"54","83","6","190","technician","divorced","no"
"58","68","6","172","management","married","no"
"52","58","6","213","blue-collar","married","no"
"28","251","6","178","admin.","single","no"
"36","688","6","174","blue-collar","married","no"
"60","364","6","631","retired","married","no"
"42","55","6","176","services","divorced","no"
"42","101","6","32","admin.","married","no"
"44","105","6","1529","management","married","no"
"51","325","6","254","blue-collar","divorced","no"
"49","198","6","200","blue-collar","married","no"
"47","209","6","135","entrepreneur","married","no"
"37","183","6","112","blue-collar","married","no"
"34","105","6","314","management","married","no"
"35","109","6","597","services","married","no"
"35","376","6","207","blue-collar","single","no"
"40","-7","6","410","blue-collar","married","no"
"55","0","6","160","technician","married","no"
"55","143","6","42","retired","married","no"
"35","550","6","55","management","single","no"
"57","162","6","155","blue-collar","married","no"
"53","115","6","336","management","married","no"
"41","512","6","233","blue-collar","married","no"
"57","807","6","211","blue-collar","married","no"
"45","248","6","88","blue-collar","married","no"
"43","1211","6","208","blue-collar","married","no"
"56","7","6","305","self-employed","married","no"
"31","281","6","206","entrepreneur","married","no"
"37","88","6","128","blue-collar","single","no"
"30","32","6","122","management","married","no"
"30","115","6","66","admin.","single","no"
"54","254","6","66","blue-collar","married","no"
"36","144","6","164","management","married","no"
"55","383","6","343","unemployed","married","no"
